"Effective Date","Intragovernmental Holdings","Public Debt","Total Debt"
"12/24/2019","$5,963,938,068,506.90","$17,116,045,374,902.84","$23,079,983,443,409.74"
"12/23/2019","$5,981,905,300,101.58","$17,132,275,166,528.98","$23,114,180,466,630.56"
"12/20/2019","$5,955,271,472,320.52","$17,131,413,769,703.14","$23,086,685,242,023.66"
"12/19/2019","$5,956,009,095,719.03","$17,131,574,400,641.15","$23,087,583,496,360.18"
"12/18/2019","$5,966,856,183,994.63","$17,132,697,641,060.15","$23,099,553,825,054.78"
"12/17/2019","$5,981,118,871,031.47","$17,130,346,074,574.30","$23,111,464,945,605.77"
"12/16/2019","$5,966,557,649,720.72","$17,141,625,359,793.44","$23,108,183,009,514.16"
"12/13/2019","$5,961,651,806,966.04","$17,088,790,373,343.72","$23,050,442,180,309.76"
"12/12/2019","$5,964,943,380,167.07","$17,088,776,732,111.07","$23,053,720,112,278.14"
"12/11/2019","$5,963,469,881,287.59","$17,105,930,691,931.67","$23,069,400,573,219.26"
"12/10/2019","$5,978,501,865,873.80","$17,104,589,566,400.81","$23,083,091,432,274.61"
"12/09/2019","$5,973,585,563,902.61","$17,123,396,867,371.36","$23,096,982,431,273.97"
"12/06/2019","$5,966,843,271,253.47","$17,123,206,920,733.52","$23,090,050,191,986.99"
"12/05/2019","$5,968,526,353,309.86","$17,122,608,802,571.39","$23,091,135,155,881.25"
"12/04/2019","$5,966,184,780,449.53","$17,123,729,318,548.02","$23,089,914,098,997.55"
"12/03/2019","$5,965,828,341,899.47","$17,122,442,409,062.30","$23,088,270,750,961.77"
"12/02/2019","$5,971,073,106,850.13","$17,133,902,192,278.59","$23,104,975,299,128.72"
"11/29/2019","$5,970,778,150,916.67","$17,105,420,783,631.03","$23,076,198,934,547.70"
"11/27/2019","$6,003,714,120,196.29","$17,072,351,276,237.79","$23,076,065,396,434.08"
"11/26/2019","$6,021,932,712,936.84","$17,071,257,086,475.21","$23,093,189,799,412.05"
"11/25/2019","$6,012,424,356,441.07","$17,060,306,138,874.47","$23,072,730,495,315.54"
"11/22/2019","$6,012,021,561,108.74","$17,059,820,593,055.93","$23,071,842,154,164.67"
"11/21/2019","$5,992,105,240,170.92","$17,059,142,871,902.76","$23,051,248,112,073.68"
"11/20/2019","$6,003,128,250,600.77","$17,050,292,172,908.28","$23,053,420,423,509.05"
"11/19/2019","$6,017,821,390,918.82","$17,048,355,480,877.07","$23,066,176,871,795.89"
"11/18/2019","$6,004,928,791,951.75","$17,045,852,074,072.08","$23,050,780,866,023.83"
"11/15/2019","$5,998,577,053,060.12","$17,045,105,021,855.79","$23,043,682,074,915.91"
"11/14/2019","$5,994,520,407,447.45","$17,022,143,220,211.93","$23,016,663,627,659.38"
"11/13/2019","$5,994,921,865,367.88","$17,009,935,889,179.38","$23,004,857,754,547.26"
"11/12/2019","$6,005,323,130,329.02","$17,009,766,613,761.61","$23,015,089,744,090.63"
"11/08/2019","$6,001,752,127,491.23","$17,004,584,006,573.19","$23,006,336,134,064.42"
"11/07/2019","$5,999,366,480,734.91","$17,004,656,452,724.54","$23,004,022,933,459.45"
"11/06/2019","$5,995,487,779,019.95","$16,990,346,243,791.22","$22,985,834,022,811.17"
"11/05/2019","$5,995,884,119,195.93","$16,990,131,413,110.42","$22,986,015,532,306.35"
"11/04/2019","$5,986,504,946,835.32","$16,979,202,987,130.20","$22,965,707,933,965.52"
"11/01/2019","$5,974,098,108,084.30","$16,979,126,135,934.57","$22,953,224,244,018.87"
"10/31/2019","$6,027,098,649,127.50","$16,981,310,915,367.49","$23,008,409,564,494.99"
"10/30/2019","$6,031,456,037,850.99","$16,931,770,448,757.39","$22,963,226,486,608.38"
"10/29/2019","$6,035,526,247,495.21","$16,930,793,643,091.26","$22,966,319,890,586.47"
"10/28/2019","$6,031,065,866,467.41","$16,919,472,433,392.30","$22,950,538,299,859.71"
"10/25/2019","$6,029,651,416,225.56","$16,919,260,555,240.92","$22,948,911,971,466.48"
"10/24/2019","$6,023,850,983,912.06","$16,919,308,704,863.87","$22,943,159,688,775.93"
"10/23/2019","$6,021,943,176,226.26","$16,904,659,048,361.14","$22,926,602,224,587.40"
"10/22/2019","$6,037,642,187,202.68","$16,903,297,018,125.32","$22,940,939,205,328.00"
"10/21/2019","$6,029,492,968,085.73","$16,892,961,507,239.77","$22,922,454,475,325.50"
"10/18/2019","$6,025,754,302,156.40","$16,893,139,099,180.82","$22,918,893,401,337.22"
"10/17/2019","$6,025,622,998,409.33","$16,893,171,764,066.81","$22,918,794,762,476.14"
"10/16/2019","$6,020,820,684,906.52","$16,876,992,286,322.34","$22,897,812,971,228.86"
"10/15/2019","$6,027,399,269,024.16","$16,875,489,754,055.11","$22,902,889,023,079.27"
"10/11/2019","$6,018,144,955,819.91","$16,825,472,625,533.73","$22,843,617,581,353.64"